_id/$oid,ID,OrgStructureName,Code,CodeBranch,AddressDetail,Phone,TypeID,ParentID,BranchID,OrderNumber,Status,DecisionNo,OrgStructureTypeID,TypeDurationID,SortID,CompanyID,OrgUnitID
5f0578fedc89b71bdcd066c0,4b078564-5437-44f7-84bf-033c9a130477,CA B nhuộm và chuẩn bị,914003,,,,,bbd55aae-1db4-4a5d-9b85-281de2065125,,1941,E_APPROVED,PPJ,3511c23f-2934-4a19-b08f-76c65fdcc21b,,1843,9aa85a72-2c59-4de2-a388-2be035a720f1,3922981c-9870-4d31-8abf-87311273bc38
5f0578fedc89b71bdcd066c1,771d8ad8-4b48-4c2d-9c8a-035f222cc138,Chuyền 10,321011,32,,,271212e8-91f8-4d63-91b8-14df7020e6b9,d12a3da9-7c9e-4802-811f-0a6668957e06,3b5ce8ce-ba06-47d2-b0cd-99473a140828,350,E_APPROVED,VTJ,7e7803c5-f795-441d-88f4-cbf7984bd5e0,,10,efcb82c4-a6d3-4f3c-b841-751dc1d6b10c,908085eb-e334-4a28-b96a-df479bfc65f2
5f0578fedc89b71bdcd066c2,771d8ad8-5b48-4c2d-9c8a-035f222cc138,Chuyền 13,321013,O32,,,271212e8-91f8-4d63-91b8-14df7020e6b9,c2f0c53d-aa4d-41f9-8146-8438e1c2867d,3b5ce8ce-ba06-47d2-b0cd-99473a140888,351,E_APPROVED,PPJ,a5a783d6-f308-40e7-b7d8-48253d97b32a,,11,66975682-b725-46e4-ae24-202cc09000fc,bc01a0d8-0c40-44e3-9d6d-b6ed8f595aa1
5f0578fedc89b71bdcd066c3,0bcec396-f3b2-4c68-82e9-06f02328919f,Chuyền may,301000,30,,,5a113616-3a42-445c-9142-981362ab5420,68767ca1-f460-49bc-b8ef-e01293fcf18e,68767ca1-f460-49bc-b8ef-e01293fcf18e,15,E_APPROVED,PPJ,3511c23f-2934-4a19-b08f-76c65fdcc21b,,43,375b265a-5d9a-41ab-ac0d-288f38632429,92855834-e195-4d74-8bd8-0c962b7825a8
5f0578fedc89b71bdcd066c4,f8611ffb-9eda-4e38-a7d4-070de126b98d,Gấp xếp - Đóng thùng,471238,,,,,6c523dfb-7135-401b-b389-49784a3e62c0,,1919,E_APPROVED,PPJ,81555736-b7da-4df3-98f3-1685b11c644f,,1821,d1891fc6-f8e5-491e-b163-85b38772c4a5,6b89eab2-a270-49f2-a718-77a4f0ed269e
5f0578fedc89b71bdcd066c5,7e68bc04-7306-4acf-8ec0-0731dcf08093,Nhóm trưởng,471538,,,,,6c523dfb-7135-401b-b389-49784a3e62c0,,1922,E_APPROVED,PPJ,,,1824,d1891fc6-f8e5-491e-b163-85b38772c4a5,9ef63400-2222-4785-90d3-7da98454bbe7
5f0578fedc89b71bdcd066c6,24e3a653-db0a-4d74-8ca4-0737629d7966,HS2,2714131,27,,,271212e8-91f8-4d63-91b8-14df7020e6b9,0993afdb-a507-4bec-9d50-df445eef454f,94a39a1f-9bb8-4112-899a-88602eed7ceb,623,E_APPROVED,PPJ,a5a783d6-f308-40e7-b7d8-48253d97b32a,,44,ca996696-1290-46bc-a4bb-c74b26ae56bd,24dd5c2a-de16-4eb0-b6cc-117f63d17a7b
5f0578fedc89b71bdcd066c7,2f9be821-edfc-451b-84b9-07401114649f,Bộ phận giao nhận,291306,29,,,271212e8-91f8-4d63-91b8-14df7020e6b9,69ac07dd-4fc2-45cb-935e-b3775c37c484,cdec41d3-d2e4-4ad6-aa9a-8a8d444a639a,16,E_APPROVED,PPJ,7e7803c5-f795-441d-88f4-cbf7984bd5e0,,45,2a296a88-4d21-422e-94aa-d91aa6553156,982058d8-01c4-48a3-8a95-32b917df0ecb
5f0578fedc89b71bdcd066c8,2ced58b3-b065-4f3c-90be-076382ac82b2,Chuyền 2,221002,22,,,271212e8-91f8-4d63-91b8-14df7020e6b9,458e1eb3-8311-4c5a-8c77-12a9edbf259f,5fe4928f-0c36-46a7-927f-70bb551692ef,17,E_APPROVED,PPJ,7e7803c5-f795-441d-88f4-cbf7984bd5e0,,46,1b128ab4-d254-4986-89e9-02f5ee473d2d,abe54577-119c-4751-bf96-f93768a4d757
5f0578fedc89b71bdcd066c9,4c1beea3-8e4d-46d8-af9b-0783ef986245,Chuyền 02,299022,,,,,316733a0-fad8-4558-bf37-e3374ecd587b,,2221,E_APPROVED,PPJ,a5a783d6-f308-40e7-b7d8-48253d97b32a,,2124,e831b45a-77d9-4d26-8212-78d89ed5a20d,9222b629-db51-4c81-8a75-562c949d3548
