_id/$oid,ID,StopWorkType,ResignReasonID,DateStop,Status,ProfileID,JobTitleID,PositionID,OrgStructureID,StoredDocuments,DateQuitSign,ContractTypeID,SortID
5f056710dc89b7165c352462,d1c06d01-b9cf-4e78-a5c5-0018dfb3cee3,E_STOP,d9db3253-85f3-4b54-b2e2-02afcafb9ccf,2014-10-20 00:00:00,E_APPROVED,a5849c01-0776-4ade-ac81-8e78d7cf2d14,1a58745e-0d1c-4bbb-b3e3-3e0b62f3223e,d67c6bda-49aa-4db9-a2c0-69d884506392,cf01ad24-6fa0-425e-adca-004b367eec31,,,,43510
5f056710dc89b7165c352463,561c15c7-ffe3-4e4e-86ed-013a73c83ebe,E_STOP,8b545eda-6ec6-46e1-a0c4-82a7c808f0c0,2016-08-30 00:00:00,E_APPROVED,3177d503-0d7b-4ef2-ad70-1ce5accc7536,1a58745e-0d1c-4bbb-b3e3-3e0b62f3223e,d67c6bda-49aa-4db9-a2c0-69d884506392,cf01ad24-6fa0-425e-adca-004b367eec31,,2016-08-30 00:00:00,,36331
5f056710dc89b7165c352464,29d49cd7-02c8-4cf5-96f9-020c1bd84d77,E_STOP,b629bf20-4e11-4181-beff-333447233f0b,2018-08-03 00:00:00,E_APPROVED,22796418-659c-4514-a373-b53b8b86541e,1a58745e-0d1c-4bbb-b3e3-3e0b62f3223e,d67c6bda-49aa-4db9-a2c0-69d884506392,6fdeee1b-4bab-4155-95a9-005b5669eeae,,,,64418
5f056710dc89b7165c352465,fc3accb8-8d60-4c43-88d7-037d4f6e196b,E_STOP,d9db3253-85f3-4b54-b2e2-02afcafb9ccf,2016-12-15 00:00:00,E_APPROVED,1b284eff-a5ee-467a-9bde-95b3286c1def,1a58745e-0d1c-4bbb-b3e3-3e0b62f3223e,d67c6bda-49aa-4db9-a2c0-69d884506392,cf01ad24-6fa0-425e-adca-004b367eec31,,,,51494
5f056710dc89b7165c352466,3fbe77f7-260f-40ab-a56c-0476c91aa058,E_STOP,d9db3253-85f3-4b54-b2e2-02afcafb9ccf,2020-02-05 00:00:00,E_APPROVED,b3580e02-b5b7-4935-90d3-8af2ffdfd919,,,85b54972-10dc-4660-a518-00b6b840020a,,,,78182
5f056710dc89b7165c352467,9325537f-61aa-4c19-8e20-08b926ec6e4c,E_STOP,d9db3253-85f3-4b54-b2e2-02afcafb9ccf,2019-10-01 00:00:00,E_APPROVED,3a4441c9-56f6-45fc-9841-dbad47fb018d,,,85b54972-10dc-4660-a518-00b6b840020a,,,81e808f3-5e36-48d4-a5e1-83a86628abc6,76309
5f056710dc89b7165c352468,d6e7c639-5f3c-438c-b7f6-0cc1318cf8c0,E_STOP,b629bf20-4e11-4181-beff-333447233f0b,2018-06-01 00:00:00,E_APPROVED,35a82e1b-adf0-4193-8cbc-39752191d98d,45ef72c6-d285-4aea-83bd-8139c21623b0,d67c6bda-49aa-4db9-a2c0-69d884506392,6fdeee1b-4bab-4155-95a9-005b5669eeae,,,,63386
5f056710dc89b7165c352469,d76610da-d171-4bf5-b170-0d3e2d035748,E_STOP,,2017-11-24 00:00:00,E_APPROVED,d25cf552-3bf2-4c93-9620-000acb4ff268,c29e3fff-fb13-43d7-a82e-039548918c09,,c13d45da-1956-439b-bd84-00c54ce3fa7b,,,,58114
5f056710dc89b7165c35246a,42cf7d8b-3f0e-4405-a69b-0d603ffd4543,E_STOP,d9db3253-85f3-4b54-b2e2-02afcafb9ccf,2018-04-09 00:00:00,E_APPROVED,f0a29e0d-ae38-4b3f-9f81-7c68c39e7b6e,e19b93ea-ea6b-46fa-80b5-2a594178f59f,d67c6bda-49aa-4db9-a2c0-69d884506392,36c2f61f-307c-4a51-a150-0022d957f0d3,,,,60882
5f056710dc89b7165c35246b,ad14be10-7023-4b16-89e2-0e5398b58426,E_STOP,d9db3253-85f3-4b54-b2e2-02afcafb9ccf,2017-04-17 00:00:00,E_APPROVED,280e1ede-47ea-48c8-aa01-6b078dea92e2,e19b93ea-ea6b-46fa-80b5-2a594178f59f,d67c6bda-49aa-4db9-a2c0-69d884506392,cf01ad24-6fa0-425e-adca-004b367eec31,,,,53893
5f056710dc89b7165c35246c,37e77ee3-2762-4046-bbef-127046dac638,E_STOP,d9db3253-85f3-4b54-b2e2-02afcafb9ccf,2016-12-17 00:00:00,E_APPROVED,58d31ac7-7ec6-469d-b015-57703b5a5b3c,1a58745e-0d1c-4bbb-b3e3-3e0b62f3223e,d67c6bda-49aa-4db9-a2c0-69d884506392,cf01ad24-6fa0-425e-adca-004b367eec31,,,,51528
5f056710dc89b7165c35246d,eb8a2287-61b4-40bf-82c7-12a070581b85,E_STOP,31b31dc0-7ef4-4e05-bd9a-b1ffffc32606,2020-05-07 00:00:00,E_APPROVED,75dac46b-c8a5-4ae3-8765-47ddfe864aa3,,,6fdeee1b-4bab-4155-95a9-005b5669eeae,,2020-05-07 09:30:40,28906e07-c67c-4d6d-b809-1cc6e62d9938,81238
5f056710dc89b7165c35246e,c8884cdf-6501-421a-b7d2-12af21168c04,E_STOP,d9db3253-85f3-4b54-b2e2-02afcafb9ccf,2015-06-05 00:00:00,E_APPROVED,685a25f5-149a-46de-ac4d-115b180569e8,1a58745e-0d1c-4bbb-b3e3-3e0b62f3223e,d67c6bda-49aa-4db9-a2c0-69d884506392,cf01ad24-6fa0-425e-adca-004b367eec31,,,,35624
5f056710dc89b7165c35246f,e1cdd5fa-5c21-4e34-a539-14057726cedc,E_STOP,d9db3253-85f3-4b54-b2e2-02afcafb9ccf,2017-08-17 00:00:00,E_APPROVED,1ba0c835-629e-49fd-9c78-b3eeb0cb55f3,1a58745e-0d1c-4bbb-b3e3-3e0b62f3223e,d67c6bda-49aa-4db9-a2c0-69d884506392,cf01ad24-6fa0-425e-adca-004b367eec31,,,,55105
5f056710dc89b7165c352470,3a37e60c-dffd-4558-8e9f-178e53b6d4ff,E_STOP,31b31dc0-7ef4-4e05-bd9a-b1ffffc32606,2020-06-30 00:00:00,E_APPROVED,8a195831-9ec7-4f1a-99aa-dcf7878ba036,,,85b54972-10dc-4660-a518-00b6b840020a,,,,82898
5f056710dc89b7165c352471,15291db0-9738-44f7-baad-18c86f2afde7,E_STOP,d9db3253-85f3-4b54-b2e2-02afcafb9ccf,2018-11-16 00:00:00,E_APPROVED,04640f0c-ea5d-44a8-835e-9df28d638fc0,1a58745e-0d1c-4bbb-b3e3-3e0b62f3223e,d67c6bda-49aa-4db9-a2c0-69d884506392,36c2f61f-307c-4a51-a150-0022d957f0d3,,,,68131
5f056710dc89b7165c352472,d78b224c-6e48-4952-b424-193268d1db62,E_STOP,,2017-11-30 00:00:00,E_APPROVED,fdf679de-1b8a-4d98-abfb-973b967cad13,,746df068-4b43-4e97-99f8-6ab764b9ae2b,6fdeee1b-4bab-4155-95a9-005b5669eeae,,,,58334
