_id/$oid,ID,Code,ProfileID,DateEffective,OrganizationStructureID,PositionID,CostCentreID,LaborType,EmployeeTypeID,PayrollGroupID,WorkLocation,JobTitleID,Status,LocationCode,OrgOld,PositionOld,LaborTypeOld,CostCentreOld,PayrollGroupOld,WorkLocationOld,LocationCodeOld,JobTitleOld,EmployeeTypeOld,SupervisorOld,CodeOld,OrgStructureOldID,CompanyID,WorkPlaceID,SortID
5f056710dc89b7165c352528,6edb20e0-3fdc-480e-8081-39b8814142d0,,279804c5-23e7-40eb-880d-8f5cc1dd74c7,6/8/2020 0:00,85b54972-10dc-4660-a518-00b6b840020a,d67c6bda-49aa-4db9-a2c0-69d884506392,,,,288b85f4-9d04-4442-97a8-117519e72d0b,,b0f28250-df01-46d4-88a8-9b0da8d8e89d,,,,Công nhân,,,Payroll TGN4,,,Công nhân mài quần bò (Kỹ thuật khô),,,,ac55f1cc-3150-4243-9860-5ff2c9de406d,ca996696-1290-46bc-a4bb-c74b26ae56bd,,107689
5f056710dc89b7165c352529,35c7885b-02cb-4f8f-b506-3cf49421b70d,,58d31ac7-7ec6-469d-b015-57703b5a5b3c,12/13/2016 0:00,cf01ad24-6fa0-425e-adca-004b367eec31,d67c6bda-49aa-4db9-a2c0-69d884506392,,E_DIRECT,044a3a4f-5556-4007-b48a-7976adec345c,,,1a58745e-0d1c-4bbb-b3e3-3e0b62f3223e,E_APPROVED,,,,,,,,,,,,,,2a296a88-4d21-422e-94aa-d91aa6553156,,45509
5f056710dc89b7165c35252a,fc3d166e-138d-4a25-bde0-3df8fc220d19,,9cc65277-ec24-41b9-bbc4-0a7a7f491315,12/2/2013 0:00,d1739d97-7fcf-433b-bcb9-00b023b3a35b,26a12389-6a49-4c25-97be-b6e85e65e6c9,,,,db18a177-006e-4caa-a9ef-77fcb5b7dae2,,51edce28-f97f-42b5-babb-fbc23ea3377b,E_APPROVED,,,,,,,,,,,,,,25e62c81-cb1a-4273-86e0-77593daff184,,9094
5f056710dc89b7165c35252b,e4eadd1e-96be-4ac2-a109-41fccc1a6ee6,,f374b768-2d81-443c-a97d-5d2faf2bb19e,11/22/2016 0:00,6fdeee1b-4bab-4155-95a9-005b5669eeae,d67c6bda-49aa-4db9-a2c0-69d884506392,,,,db18a177-006e-4caa-a9ef-77fcb5b7dae2,,45ef72c6-d285-4aea-83bd-8139c21623b0,E_APPROVED,,,,,,,,,,,,,,bc59c03f-8774-470f-90de-91c899280f1e,,45350
5f056710dc89b7165c35252c,b3b09b90-3081-4be0-a1ed-425cd3525323,,e174ea0f-d7a1-4939-b1f4-9127ead1050c,2/12/2017 0:00,cf01ad24-6fa0-425e-adca-004b367eec31,d67c6bda-49aa-4db9-a2c0-69d884506392,,,,,,1a58745e-0d1c-4bbb-b3e3-3e0b62f3223e,E_APPROVED,,,,,,,,,,,,,,2a296a88-4d21-422e-94aa-d91aa6553156,,45980
5f056710dc89b7165c35252d,2c1ea040-e8a9-4d28-a812-428ef3e5faa3,,aae6a549-1f0a-4aa5-b9f3-87cca92a4184,5/19/2018 0:00,85b54972-10dc-4660-a518-00b6b840020a,d67c6bda-49aa-4db9-a2c0-69d884506392,,,,5bb552bd-f00c-4784-89e2-5f552bf7a540,,15d35f43-96a6-4b55-866b-c86832a34d9f,E_APPROVED,,,,,,,,,,,,,,ca996696-1290-46bc-a4bb-c74b26ae56bd,,61007
5f056710dc89b7165c35252e,2a90d2f3-6bcf-4f82-af13-46159094e264,,f0a29e0d-ae38-4b3f-9f81-7c68c39e7b6e,10/2/2017 0:00,36c2f61f-307c-4a51-a150-0022d957f0d3,d67c6bda-49aa-4db9-a2c0-69d884506392,,E_DIRECT,044a3a4f-5556-4007-b48a-7976adec345c,,,e19b93ea-ea6b-46fa-80b5-2a594178f59f,E_APPROVED,,,,,,,,,,,,,,2d6506e5-83a7-4876-99eb-8e3258ee7243,,53454
5f056710dc89b7165c35252f,9ca73941-dea1-4169-b243-4626e0f70037,,4c70c3c0-a047-4d42-a7cc-c05a0ddb90b5,10/22/2019 0:00,6fdeee1b-4bab-4155-95a9-005b5669eeae,d67c6bda-49aa-4db9-a2c0-69d884506392,,,,db18a177-006e-4caa-a9ef-77fcb5b7dae2,,1a58745e-0d1c-4bbb-b3e3-3e0b62f3223e,E_APPROVED,,,,,,,,,,,,,,bc59c03f-8774-470f-90de-91c899280f1e,,91260
5f056710dc89b7165c352530,09bfaaf0-d5b3-4216-858c-4820bb4e1127,,a31e0eca-3461-40b0-8622-608250671328,6/15/2017 0:00,d1739d97-7fcf-433b-bcb9-00b023b3a35b,d67c6bda-49aa-4db9-a2c0-69d884506392,,,,5bb552bd-f00c-4784-89e2-5f552bf7a540,,8fd54684-0121-48b3-a4e4-f38f97938553,E_APPROVED,,,,,,,,,,,,,,25e62c81-cb1a-4273-86e0-77593daff184,,50766
5f056710dc89b7165c352531,9baa1ebd-c0d0-4266-a38f-493e9d735bb1,,94e6eccc-08ed-47b9-b4e5-3874307ebc53,10/9/2012 0:00,85b54972-10dc-4660-a518-00b6b840020a,d67c6bda-49aa-4db9-a2c0-69d884506392,,,,5bb552bd-f00c-4784-89e2-5f552bf7a540,Nhà máy Thời trang Phong Phú,ab0a7182-3358-40d1-b236-5d6ad0ca51fa,E_APPROVED,,WK3,Công nhân,,,,Nhà máy Thời trang Phong Phú,,"Công nhân mài, chà quần bò",,,,,ca996696-1290-46bc-a4bb-c74b26ae56bd,2abfc415-6145-4238-92d7-f1997411f7e4,10737
5f056710dc89b7165c352532,35da5dea-1ead-4d48-b1f9-4b7fc8d4a71c,,2c1fc060-c66e-4cde-9e50-fa1fdeb9342a,1/13/2020 0:00,d1739d97-7fcf-433b-bcb9-00b023b3a35b,d67c6bda-49aa-4db9-a2c0-69d884506392,,E_DIRECT,044a3a4f-5556-4007-b48a-7976adec345c,5bb552bd-f00c-4784-89e2-5f552bf7a540,,bc18107f-bb2c-496e-b6d7-25f43f4c69b5,E_APPROVED,,,Công nhân,E_DIRECT,,Payroll TGN123,,,Công nhân kiểm tra chất lượng (Phun hóa chất),Công nhân trực tiếp sản xuất,,,d1739d97-7fcf-433b-bcb9-00b023b3a35b,25e62c81-cb1a-4273-86e0-77593daff184,,96302
5f056710dc89b7165c352533,f3b56255-9557-45ef-a8f1-4cbda88ffbb1,,fdf679de-1b8a-4d98-abfb-973b967cad13,8/13/2016 0:00,6fdeee1b-4bab-4155-95a9-005b5669eeae,746df068-4b43-4e97-99f8-6ab764b9ae2b,,,,db18a177-006e-4caa-a9ef-77fcb5b7dae2,,,E_APPROVED,,,,,,,,,,,,,,bc59c03f-8774-470f-90de-91c899280f1e,,39577
5f056710dc89b7165c352534,2d70c147-0327-4810-a05f-4d309e3e38d1,,2d35bf42-60b5-4fa2-9686-c16d1e52f8af,7/25/2016 0:00,6fdeee1b-4bab-4155-95a9-005b5669eeae,,,,,db18a177-006e-4caa-a9ef-77fcb5b7dae2,,,E_APPROVED,,,,,,,,,,,,,,bc59c03f-8774-470f-90de-91c899280f1e,,39593
5f056710dc89b7165c352535,f7677ad6-139d-4bde-a0d1-4f2820cbdfdd,,2c1fc060-c66e-4cde-9e50-fa1fdeb9342a,12/15/2017 0:00,d1739d97-7fcf-433b-bcb9-00b023b3a35b,d67c6bda-49aa-4db9-a2c0-69d884506392,,E_DIRECT,044a3a4f-5556-4007-b48a-7976adec345c,5bb552bd-f00c-4784-89e2-5f552bf7a540,,bc18107f-bb2c-496e-b6d7-25f43f4c69b5,E_APPROVED,,,,,,,,,,,,,,25e62c81-cb1a-4273-86e0-77593daff184,,55326
5f056710dc89b7165c352536,6d575bb9-9084-4a50-9cd4-52e7e5923ae0,,f0b38ff1-aa05-4cd8-8f1b-d88eb59453f2,2/26/2019 0:00,36c2f61f-307c-4a51-a150-0022d957f0d3,d67c6bda-49aa-4db9-a2c0-69d884506392,,,,,,c85ac4aa-0b4a-40c1-a62a-d3a22823dca3,E_APPROVED,,,,,,,,,,,,,,2d6506e5-83a7-4876-99eb-8e3258ee7243,,75988
5f056710dc89b7165c352537,5dabf385-87b0-459f-9361-535054d3c00b,,a9b2ee4d-998f-4929-b667-bf58998f088b,3/14/2016 0:00,6fdeee1b-4bab-4155-95a9-005b5669eeae,d67c6bda-49aa-4db9-a2c0-69d884506392,,,,db18a177-006e-4caa-a9ef-77fcb5b7dae2,,,E_APPROVED,,,,,,,,,,,,,,bc59c03f-8774-470f-90de-91c899280f1e,,39702
5f056710dc89b7165c352538,911b6dea-f8f1-45cc-a778-54962035ac19,,279804c5-23e7-40eb-880d-8f5cc1dd74c7,7/17/2020 0:00,ac55f1cc-3150-4243-9860-5ff2c9de406d,d67c6bda-49aa-4db9-a2c0-69d884506392,,,,288b85f4-9d04-4442-97a8-117519e72d0b,,b0f28250-df01-46d4-88a8-9b0da8d8e89d,E_APPROVED,,,Công nhân,,,Payroll TGN4,,,Công nhân mài quần bò (Kỹ thuật khô),,,,ac55f1cc-3150-4243-9860-5ff2c9de406d,e00f018c-3221-4790-a4c4-d9f2255b50d0,,107544
5f056710dc89b7165c352539,6cfdf921-26f8-432a-9490-56816ca81f00,,cce57f8f-53df-4e6b-ac1c-a1d85c0c0320,9/25/2012 0:00,cf01ad24-6fa0-425e-adca-004b367eec31,d67c6bda-49aa-4db9-a2c0-69d884506392,,,,db18a177-006e-4caa-a9ef-77fcb5b7dae2,,1a58745e-0d1c-4bbb-b3e3-3e0b62f3223e,E_APPROVED,,,,,,,,,,,,,,2a296a88-4d21-422e-94aa-d91aa6553156,0ad27857-c499-4ec6-a779-4f74d6298209,12768
5f056710dc89b7165c35253a,d3e822e0-312d-4b94-bf92-582a1da779c6,,5ce57a95-8300-42ff-9cfd-e80700e079e5,2/6/2020 0:00,85b54972-10dc-4660-a518-00b6b840020a,d67c6bda-49aa-4db9-a2c0-69d884506392,,,,5bb552bd-f00c-4784-89e2-5f552bf7a540,,15d35f43-96a6-4b55-866b-c86832a34d9f,E_APPROVED,,,Công nhân,,,Payroll TGN123,,,Công nhân mài quần bò (Lấy dấu),,,,85b54972-10dc-4660-a518-00b6b840020a,ca996696-1290-46bc-a4bb-c74b26ae56bd,,95566
5f056710dc89b7165c35253b,7506d95f-f1f0-4a26-aec7-5a592d5c0563,,5f027805-1c75-46fb-a5de-f71a64b646a4,2/6/2017 0:00,6fdeee1b-4bab-4155-95a9-005b5669eeae,d67c6bda-49aa-4db9-a2c0-69d884506392,,,,db18a177-006e-4caa-a9ef-77fcb5b7dae2,,45ef72c6-d285-4aea-83bd-8139c21623b0,E_APPROVED,,,,,,,,,,,,,,bc59c03f-8774-470f-90de-91c899280f1e,,46791
5f056710dc89b7165c35253c,8e1365b4-3db7-4e5c-a5ca-5d32817b2db9,,4c36d560-0a48-405b-a1ff-a86744c2d24b,9/12/2016 0:00,6fdeee1b-4bab-4155-95a9-005b5669eeae,d67c6bda-49aa-4db9-a2c0-69d884506392,,,,db18a177-006e-4caa-a9ef-77fcb5b7dae2,,45ef72c6-d285-4aea-83bd-8139c21623b0,E_APPROVED,,,,,,,,,,,,,,bc59c03f-8774-470f-90de-91c899280f1e,,44150
5f056710dc89b7165c35253d,1657919c-fea4-421a-8bcd-5def00084a2a,,8c401a0f-393e-4683-9a5b-5130c053b473,2/15/2019 0:00,36c2f61f-307c-4a51-a150-0022d957f0d3,d67c6bda-49aa-4db9-a2c0-69d884506392,,,,,,1a58745e-0d1c-4bbb-b3e3-3e0b62f3223e,E_APPROVED,,,,,,,,,,,,,,2d6506e5-83a7-4876-99eb-8e3258ee7243,,75346
5f056710dc89b7165c35253e,2b51a346-c250-4624-ba79-5dfb449db6a7,,83dd3e4c-b0c9-4fc5-acc7-fb8ae111745f,6/27/2016 0:00,cf01ad24-6fa0-425e-adca-004b367eec31,d67c6bda-49aa-4db9-a2c0-69d884506392,,,044a3a4f-5556-4007-b48a-7976adec345c,db18a177-006e-4caa-a9ef-77fcb5b7dae2,,1a58745e-0d1c-4bbb-b3e3-3e0b62f3223e,E_APPROVED,,,,,,,,,,,,,,2a296a88-4d21-422e-94aa-d91aa6553156,,39880
5f056710dc89b7165c35253f,c6d591c4-f060-4b45-814f-5fce2d8cc9f3,,079e0a40-c44d-4435-9b3a-fec5e52e174e,11/6/2019 0:00,85b54972-10dc-4660-a518-00b6b840020a,d67c6bda-49aa-4db9-a2c0-69d884506392,,,,,,d503b3e6-b9c5-484e-9ace-e9e50b1463ed,E_APPROVED,,,Công nhân,,,,,,Công nhân mài quần bò (giao nhận),,,,85b54972-10dc-4660-a518-00b6b840020a,ca996696-1290-46bc-a4bb-c74b26ae56bd,,92034
5f056710dc89b7165c352540,97f64098-1d31-4d02-9b5e-60a16f43e616,,0e05d317-7938-42cb-82e7-84f3586ae12b,6/13/2020 0:00,6fdeee1b-4bab-4155-95a9-005b5669eeae,d67c6bda-49aa-4db9-a2c0-69d884506392,,,,db18a177-006e-4caa-a9ef-77fcb5b7dae2,,1a58745e-0d1c-4bbb-b3e3-3e0b62f3223e,E_APPROVED,,,Công nhân,,,Bảng lương nhân viên chính thức,,,Công nhân vận hành máy may (May công nghiệp),,,,6fdeee1b-4bab-4155-95a9-005b5669eeae,bc59c03f-8774-470f-90de-91c899280f1e,,105736
5f056710dc89b7165c352541,bf5ee15b-b712-46a5-861f-61b0024e2cf9,,ad39dadb-0597-4c21-852a-a37d69b2d5ff,2/20/2019 0:00,d1739d97-7fcf-433b-bcb9-00b023b3a35b,d67c6bda-49aa-4db9-a2c0-69d884506392,,E_DIRECT,044a3a4f-5556-4007-b48a-7976adec345c,1d101557-8951-4583-a5b8-6c24e75ebed3,,6550c8c9-76ce-48d8-9d96-7f8bc19d1a32,E_APPROVED,,,,,,,,,,,,,,25e62c81-cb1a-4273-86e0-77593daff184,,76228
