_id/$oid,ID,OrgstructureID,E_COMPANY,E_BRANCH,E_UNIT,E_DIVISION,E_DEPARTMENT,E_TEAM,E_SECTION,E_COMPANY_CODE,E_BRANCH_CODE,E_UNIT_CODE,E_DIVISION_CODE,E_DEPARTMENT_CODE,E_TEAM_CODE,E_SECTION_CODE,SortID
5f0578fddc89b71bdcd060aa,c517b81a-579c-472b-b665-836601434fc7,ae79746e-becf-4c3f-9865-8ed29905b363,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy Thời Trang Phong Phú (Wash Linh Trung),Bộ phận Bắn màu,Bắn màu B,,PPG,,PPJ,FC_270000,270900,270902,,3700146
5f0578fddc89b71bdcd060ab,16874045-a13b-495a-a924-83852700f4dc,ef447441-6f2b-49c6-a1b4-6a72e3a35f51,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Khối Văn Phòng,Phòng Hành chính Nhân sự,,,PPG,,PPJ,000000,020000,,,3699861
5f0578fddc89b71bdcd060ac,f53fcfba-f9db-49a8-acfa-839c23f8c7c8,21d1cb9d-4f45-4eb3-a830-e1c2dcc61325,PHONG PHÚ GROUP,,CÔNG TY CỔ PHẦN DỆT MAY PPJ HUẾ,Nhà máy Dệt thoi,Bộ phận Kế hoạch,,,PPG,,FC_HPH,840000,804000,,,3700749
5f0578fddc89b71bdcd060ad,821a3a09-7d44-4a59-b334-839ff1ec7474,a06f40f8-1463-45e6-b3a9-b9e322d4bd70,PHONG PHÚ GROUP,,CÔNG TY CỔ PHẦN VINATEX QUỐC TẾ,Chi nhánh VTJ TP. Đà Nẵng,Nhà máy Dệt Khí,Xưởng Dệt,Tổ Dệt A,PPG,,VTJ,VTJÐN,582000,582500,582503,3700447
5f0578fddc89b71bdcd060ae,2e2da96c-fc91-4acc-94f7-83c9ccefaf3c,16e04611-af02-427c-9187-a2cb486be215,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy Thời Trang Phong Phú (Wash Linh Trung),Bộ phận Quản lý chất lượng ( BP. QC ) ,QC Thành phẩm,QC sửa hàng,PPG,,PPJ,FC_270000,271200,271202,271242,3700280
5f0578fddc89b71bdcd060af,798f239e-f5f0-4249-96fc-9bff4f617011,1b4f5f55-a180-4d9c-9087-1842f67d87a5,PHONG PHÚ GROUP,Xử lý nước thải,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh thành phố Đà Nẵng - Công ty CPQT Phong Phú,Nhà Máy Wash Đà Nẵng A,Bộ phận Cơ điện - Bảo Trì,,PPG,390603,PPJ,340000,FC_390000,390600,,3699211
5f0578fddc89b71bdcd060b0,db006996-564a-4a97-a780-9c14d4329f81,0361e1a4-8549-4d4b-8869-781a8d6fe070,PHONG PHÚ GROUP,,CÔNG TY CỔ PHẦN CÔNG NGHỆ WASH HNC,Nhà máy Wash HNC,Bộ phận thời trang,TT hành chánh,,PPG,,FC_HNC,940002,709000,709050,,3699967
5f0578fddc89b71bdcd060b1,0e071490-db9b-4fa8-a9c3-9c20130f4dc4,54e20005-982d-40dc-b9be-8e70072bc3f5,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy Thời Trang Phong Phú (Wash Linh Trung),Bộ phận PPSPRAY,PP SPRAY HC,,PPG,,PPJ,FC_270000,271500,271513,,3700144
5f0578fddc89b71bdcd060b2,485af30d-4a7a-483f-b714-9c3932eed9df,b381389d-346f-4de6-aea6-dde57fb41bda,PHONG PHÚ GROUP,,CÔNG TY CỔ PHẦN VINATEX QUỐC TẾ,Chi nhánh Hải Phòng - Công ty Cổ phần Vinatex Quốc tế,Chuyền may,Chuyền Đào tạo,,PPG,,VTJ,FC_350000,352000,352009,,3700720
5f0578fddc89b71bdcd060b3,8c619773-dd26-40b7-bd0b-9c460ed52e0f,85849d64-19a0-43eb-a5ff-16205f995f4c,PHONG PHÚ GROUP,,Nhà máy may Thun Xuất Khẩu Phong Phú Sài Gòn,,Bộ phận Hoàn Tất,,Bộ phận ủi,PPG,,320000,,321300,,321303,3699186
